City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
220,Wangaratta,AU,3/24/2021 20:04,-36.3667,146.3333,60.8,94,40,13.8,scattered clouds
221,College,US,3/24/2021 20:04,64.8569,-147.8028,19.99,73,90,3.53,light snow
222,Turbat,PK,3/24/2021 20:01,26.0023,63.044,74.3,42,0,3.06,clear sky
223,Buckeye,US,3/24/2021 20:04,33.3703,-112.5838,70,19,2,5.75,clear sky
224,Geraldton,AU,3/24/2021 20:04,-28.7667,114.6,59,72,0,6.91,clear sky
225,North Bend,US,3/24/2021 20:04,43.4065,-124.2243,46.99,93,90,6.91,overcast clouds
226,Pychas,RU,3/24/2021 20:04,56.5033,52.4409,28,70,61,1.01,broken clouds
227,Taoudenni,ML,3/24/2021 20:04,22.6783,-3.9836,74.17,10,0,11.43,clear sky
228,Yumen,CN,3/24/2021 20:04,40.2833,97.2,46.4,18,100,12.08,overcast clouds
229,Makakilo City,US,3/24/2021 20:04,21.3469,-158.0858,78.8,88,90,13.8,light rain
230,Bubaque,GW,3/24/2021 20:04,11.2833,-15.8333,78.04,67,15,18.5,few clouds
231,Aykhal,RU,3/24/2021 20:04,66,111.5,-12.82,100,100,7.11,overcast clouds
232,Tamale,GH,3/24/2021 20:04,9.4008,-0.8393,98.6,18,98,6.53,overcast clouds
233,Clyde River,CA,3/24/2021 20:04,70.4692,-68.5914,-9.4,77,40,13.8,snow
234,Klaksvik,FO,3/24/2021 20:04,62.2266,-6.589,39.2,81,75,2.3,broken clouds
235,Valdivia,CL,3/24/2021 20:02,-39.8142,-73.2459,66.2,39,0,5.75,clear sky
236,Severnoye,RU,3/24/2021 20:04,56.3491,78.3619,28.31,87,100,11.95,overcast clouds
237,Senanga,ZM,3/24/2021 20:04,-16.1167,23.2667,73.24,65,100,5.14,overcast clouds
238,Rondonopolis,BR,3/24/2021 20:03,-16.4708,-54.6356,89.53,45,100,5.21,overcast clouds
239,Port Blair,IN,3/24/2021 20:04,11.6667,92.75,81.41,78,14,5.03,few clouds
240,Gladstone,AU,3/24/2021 20:04,-23.85,151.25,73.4,83,12,6.91,few clouds
241,Cine,TR,3/24/2021 20:04,37.6117,28.0614,39.2,70,20,5.75,few clouds
242,Saint-Pierre,RE,3/24/2021 20:04,-21.3393,55.4781,78.8,83,0,4.61,clear sky
243,Moree,AU,3/24/2021 20:04,-29.4667,149.85,57.2,88,0,5.75,clear sky
244,Chokurdakh,RU,3/24/2021 20:04,70.6333,147.9167,-22.77,99,100,6.24,overcast clouds
245,Port Hardy,CA,3/24/2021 20:00,50.6996,-127.4199,44.6,93,90,8.05,light rain
246,Comodoro Rivadavia,AR,3/24/2021 20:00,-45.8667,-67.5,68,34,0,9.22,clear sky
247,Pandan,PH,3/24/2021 20:04,14.0453,124.1694,79.38,77,100,9.62,overcast clouds
248,Cayenne,GF,3/24/2021 20:04,4.9333,-52.3333,84.2,70,90,12.66,overcast clouds
249,Laramie,US,3/24/2021 20:03,41.3114,-105.5911,33.8,51,1,6.91,clear sky
250,Vestmannaeyjar,IS,3/24/2021 20:04,63.4427,-20.2734,36.73,54,100,13.96,overcast clouds
251,Husavik,IS,3/24/2021 20:04,66.0449,-17.3389,35.6,69,75,9.22,broken clouds
252,Egvekinot,RU,3/24/2021 20:04,66.3167,-179.1667,6.67,93,100,2.98,light snow
253,Pappadatai,GR,3/24/2021 20:04,39.3133,20.7925,50,65,6,5.75,clear sky
254,Contramaestre,CU,3/24/2021 20:04,20.2978,-76.2414,91.4,35,40,13.8,scattered clouds
255,Chapais,CA,3/24/2021 20:04,49.7834,-74.8492,51.8,37,1,6.91,clear sky
256,Vicosa,BR,3/24/2021 20:04,-20.7539,-42.8819,78.53,77,10,3.31,clear sky
257,Seminole,US,3/24/2021 20:00,28.7086,-81.2081,87.01,34,1,10.36,clear sky
